detector,case_id,expected_drift,detected_drift,outcome,score,runtime_ms,peak_memory_kb
PSI,dissolved_oxygen_concentration::batch_92.0_selfsplit,0,1,FP,1.77062,0.306,8.5
KS,dissolved_oxygen_concentration::batch_92.0_selfsplit,0,1,FP,0.293913,0.134,55.1
ADWIN,dissolved_oxygen_concentration::batch_92.0_selfsplit,0,1,FP,,0.668,11.4
PageHinkley,dissolved_oxygen_concentration::batch_92.0_selfsplit,0,1,FP,,0.659,0.8
HDDM-A,dissolved_oxygen_concentration::batch_92.0_selfsplit,0,1,FP,,1.935,10.1
PSI,dissolved_oxygen_concentration::batch_92.0_vs_batch_100.0,1,1,TP,0.578082,0.232,12.9
KS,dissolved_oxygen_concentration::batch_92.0_vs_batch_100.0,1,1,TP,0.285217,0.208,109.0
ADWIN,dissolved_oxygen_concentration::batch_92.0_vs_batch_100.0,1,1,TP,,6.389,31.9
PageHinkley,dissolved_oxygen_concentration::batch_92.0_vs_batch_100.0,1,1,TP,,1.347,0.7
HDDM-A,dissolved_oxygen_concentration::batch_92.0_vs_batch_100.0,1,0,FN,,8.148,19.1
PSI,dissolved_oxygen_concentration::batch_92.0_vs_batch_91.0,1,1,TP,0.75817,0.254,14.0
KS,dissolved_oxygen_concentration::batch_92.0_vs_batch_91.0,1,1,TP,0.373596,0.174,115.6
ADWIN,dissolved_oxygen_concentration::batch_92.0_vs_batch_91.0,1,1,TP,,1.362,18.5
PageHinkley,dissolved_oxygen_concentration::batch_92.0_vs_batch_91.0,1,1,TP,,1.446,0.8
HDDM-A,dissolved_oxygen_concentration::batch_92.0_vs_batch_91.0,1,1,TP,,4.925,21.2
PSI,dissolved_oxygen_concentration::batch_92.0_vs_batch_94.0,1,1,TP,1.40213,0.272,12.9
KS,dissolved_oxygen_concentration::batch_92.0_vs_batch_94.0,1,1,TP,0.478261,0.330,109.0
ADWIN,dissolved_oxygen_concentration::batch_92.0_vs_batch_94.0,1,1,TP,,2.454,17.6
PageHinkley,dissolved_oxygen_concentration::batch_92.0_vs_batch_94.0,1,1,TP,,2.910,0.8
HDDM-A,dissolved_oxygen_concentration::batch_92.0_vs_batch_94.0,1,1,TP,,9.089,19.1
PSI,dissolved_oxygen_concentration::batch_92.0_vs_batch_95.0,1,1,TP,2.845,0.317,12.7
KS,dissolved_oxygen_concentration::batch_92.0_vs_batch_95.0,1,1,TP,0.525168,0.246,104.6
ADWIN,dissolved_oxygen_concentration::batch_92.0_vs_batch_95.0,1,1,TP,,1.554,19.7
PageHinkley,dissolved_oxygen_concentration::batch_92.0_vs_batch_95.0,1,1,TP,,1.606,0.8
HDDM-A,dissolved_oxygen_concentration::batch_92.0_vs_batch_95.0,1,1,TP,,3.356,17.6
PSI,dissolved_oxygen_concentration::batch_92.0_vs_batch_96.0,1,1,TP,1.48805,0.240,12.9
KS,dissolved_oxygen_concentration::batch_92.0_vs_batch_96.0,1,1,TP,0.429565,0.176,109.0
ADWIN,dissolved_oxygen_concentration::batch_92.0_vs_batch_96.0,1,1,TP,,1.230,18.0
PageHinkley,dissolved_oxygen_concentration::batch_92.0_vs_batch_96.0,1,1,TP,,1.727,0.8
HDDM-A,dissolved_oxygen_concentration::batch_92.0_vs_batch_96.0,1,0,FN,,7.503,19.1
PSI,dissolved_oxygen_concentration::batch_92.0_vs_batch_97.0,1,1,TP,1.82258,0.262,12.8
KS,dissolved_oxygen_concentration::batch_92.0_vs_batch_97.0,1,1,TP,0.361411,0.167,107.9
ADWIN,dissolved_oxygen_concentration::batch_92.0_vs_batch_97.0,1,1,TP,,1.222,15.5
PageHinkley,dissolved_oxygen_concentration::batch_92.0_vs_batch_97.0,1,1,TP,,1.382,0.8
HDDM-A,dissolved_oxygen_concentration::batch_92.0_vs_batch_97.0,1,0,FN,,5.443,18.7
PSI,dissolved_oxygen_concentration::batch_92.0_vs_batch_98.0,1,1,TP,0.708947,0.241,12.9
KS,dissolved_oxygen_concentration::batch_92.0_vs_batch_98.0,1,1,TP,0.389565,0.162,109.0
ADWIN,dissolved_oxygen_concentration::batch_92.0_vs_batch_98.0,1,1,TP,,1.247,17.2
PageHinkley,dissolved_oxygen_concentration::batch_92.0_vs_batch_98.0,1,1,TP,,1.314,0.8
HDDM-A,dissolved_oxygen_concentration::batch_92.0_vs_batch_98.0,1,1,TP,,4.044,19.1
PSI,dissolved_oxygen_concentration::batch_92.0_vs_batch_99.0,1,1,TP,0.696333,0.230,13.8
