detector,case_id,expected_drift,detected_drift,outcome,score,runtime_ms,peak_memory_kb
MMD-default,multivariate::batch_92.0_selfsplit,0,0,TN,0.00348078,12.219,12924.7
MMD-median,multivariate::batch_92.0_selfsplit,0,1,FP,0.487811,21.141,29394.5
PCA-CD,multivariate::batch_92.0_selfsplit,0,1,FP,1.41928e+09,0.484,105.4
KDQ-Tree,multivariate::batch_92.0_selfsplit,0,1,FP,1,132.368,38923.3
MMD-default,multivariate::batch_92.0_vs_batch_100.0,1,0,FN,0.00173825,37.835,51678.8
MMD-median,multivariate::batch_92.0_vs_batch_100.0,1,0,FN,0.00970612,51.256,51679.3
PCA-CD,multivariate::batch_92.0_vs_batch_100.0,1,1,TP,1.24602e+07,0.718,145.9
KDQ-Tree,multivariate::batch_92.0_vs_batch_100.0,1,1,TP,1,349.319,155271.0
MMD-default,multivariate::batch_92.0_vs_batch_91.0,1,0,FN,0.00164067,47.499,58122.1
MMD-median,multivariate::batch_92.0_vs_batch_91.0,1,1,TP,0.1829,58.071,58122.6
PCA-CD,multivariate::batch_92.0_vs_batch_91.0,1,1,TP,3.21373e+08,0.715,154.6
KDQ-Tree,multivariate::batch_92.0_vs_batch_91.0,1,1,TP,1,357.320,174138.2
MMD-default,multivariate::batch_92.0_vs_batch_94.0,1,0,FN,0.00173945,40.758,51678.8
MMD-median,multivariate::batch_92.0_vs_batch_94.0,1,0,FN,0.0306518,53.082,51679.3
PCA-CD,multivariate::batch_92.0_vs_batch_94.0,1,1,TP,1.38146e+07,0.719,145.9
KDQ-Tree,multivariate::batch_92.0_vs_batch_94.0,1,1,TP,1,370.771,155271.0
MMD-default,multivariate::batch_92.0_vs_batch_95.0,1,0,FN,0.00180701,43.719,47481.0
MMD-median,multivariate::batch_92.0_vs_batch_95.0,1,1,TP,0.12477,49.150,47481.5
PCA-CD,multivariate::batch_92.0_vs_batch_95.0,1,1,TP,1.80995e+08,0.664,145.7
KDQ-Tree,multivariate::batch_92.0_vs_batch_95.0,1,1,TP,1,339.792,155046.1
MMD-default,multivariate::batch_92.0_vs_batch_96.0,1,0,FN,0.00173522,39.222,51678.8
MMD-median,multivariate::batch_92.0_vs_batch_96.0,1,1,TP,0.0586243,57.736,51679.3
PCA-CD,multivariate::batch_92.0_vs_batch_96.0,1,1,TP,4.37009e+07,0.682,145.9
KDQ-Tree,multivariate::batch_92.0_vs_batch_96.0,1,1,TP,1,346.716,155271.0
MMD-default,multivariate::batch_92.0_vs_batch_97.0,1,0,FN,0.00175636,40.409,50560.5
MMD-median,multivariate::batch_92.0_vs_batch_97.0,1,0,FN,0.00863934,55.048,50560.9
PCA-CD,multivariate::batch_92.0_vs_batch_97.0,1,1,TP,4.94124e+06,0.715,145.7
KDQ-Tree,multivariate::batch_92.0_vs_batch_97.0,1,1,TP,1,345.730,155046.1
MMD-default,multivariate::batch_92.0_vs_batch_98.0,1,0,FN,0.00173462,42.378,51678.8
MMD-median,multivariate::batch_92.0_vs_batch_98.0,1,0,FN,0.0117594,49.406,51679.3
PCA-CD,multivariate::batch_92.0_vs_batch_98.0,1,1,TP,2.40352e+06,0.692,145.9
KDQ-Tree,multivariate::batch_92.0_vs_batch_98.0,1,1,TP,1,364.909,155271.0
MMD-default,multivariate::batch_92.0_vs_batch_99.0,1,0,FN,0.00166178,48.242,56482.6
MMD-median,multivariate::batch_92.0_vs_batch_99.0,1,1,TP,0.127281,54.177,56483.1
PCA-CD,multivariate::batch_92.0_vs_batch_99.0,1,1,TP,1.76606e+08,0.644,152.7
KDQ-Tree,multivariate::batch_92.0_vs_batch_99.0,1,1,TP,1,358.415,169421.4
MMD-default,multivariate::batch_93.0_selfsplit,0,0,TN,0.00381367,7.718,10775.5
MMD-median,multivariate::batch_93.0_selfsplit,0,1,FP,0.661424,20.199,29394.5
PCA-CD,multivariate::batch_93.0_selfsplit,0,1,FP,2.26628e+09,1.003,96.4
KDQ-Tree,multivariate::batch_93.0_selfsplit,0,1,FP,1,109.747,32468.2
MMD-default,multivariate::batch_93.0_vs_batch_100.0,1,0,FN,0.00180605,34.007,47264.0
MMD-median,multivariate::batch_93.0_vs_batch_100.0,1,0,FN,0.0224151,49.292,47264.5
PCA-CD,multivariate::batch_93.0_vs_batch_100.0,1,1,TP,4.49286e+06,0.696,144.3
KDQ-Tree,multivariate::batch_93.0_vs_batch_100.0,1,1,TP,0.958095,322.001,141774.9
MMD-default,multivariate::batch_93.0_vs_batch_91.0,1,0,FN,0.00172461,49.304,53379.2
MMD-median,multivariate::batch_93.0_vs_batch_91.0,1,1,TP,0.261672,52.048,53379.6
PCA-CD,multivariate::batch_93.0_vs_batch_91.0,1,1,TP,5.55812e+08,0.728,153.1
KDQ-Tree,multivariate::batch_93.0_vs_batch_91.0,1,1,TP,1,314.820,159001.5
MMD-default,multivariate::batch_93.0_vs_batch_94.0,1,0,FN,0.00181434,35.611,47264.0
MMD-median,multivariate::batch_93.0_vs_batch_94.0,1,1,TP,0.086167,51.894,47264.5
PCA-CD,multivariate::batch_93.0_vs_batch_94.0,1,1,TP,8.77165e+07,0.697,144.3
KDQ-Tree,multivariate::batch_93.0_vs_batch_94.0,1,1,TP,0.988571,326.351,141774.9
MMD-default,multivariate::batch_93.0_vs_batch_95.0,1,0,FN,0.00188689,33.309,43288.8
MMD-median,multivariate::batch_93.0_vs_batch_95.0,1,1,TP,0.200388,44.863,43289.3
PCA-CD,multivariate::batch_93.0_vs_batch_95.0,1,1,TP,3.64903e+08,0.731,133.9
KDQ-Tree,multivariate::batch_93.0_vs_batch_95.0,1,1,TP,0.988571,302.415,130085.4
MMD-default,multivariate::batch_93.0_vs_batch_96.0,1,0,FN,0.00181397,39.308,47264.0
MMD-median,multivariate::batch_93.0_vs_batch_96.0,1,1,TP,0.13517,48.838,47264.5
PCA-CD,multivariate::batch_93.0_vs_batch_96.0,1,1,TP,1.50301e+08,0.776,144.3
KDQ-Tree,multivariate::batch_93.0_vs_batch_96.0,1,1,TP,1,311.983,141774.9
MMD-default,multivariate::batch_93.0_vs_batch_97.0,1,0,FN,0.00183285,38.936,46204.2
MMD-median,multivariate::batch_93.0_vs_batch_97.0,1,1,TP,0.0699771,46.511,46204.7
PCA-CD,multivariate::batch_93.0_vs_batch_97.0,1,1,TP,6.19673e+07,0.729,141.6
KDQ-Tree,multivariate::batch_93.0_vs_batch_97.0,1,1,TP,1,326.608,138698.7
MMD-default,multivariate::batch_93.0_vs_batch_98.0,1,0,FN,0.00181474,45.145,47264.0
