detector,case_id,expected_drift,detected_drift,outcome,score,runtime_ms,peak_memory_kb
PSI,CO2_percent_in_off_gas::batch_92.0_selfsplit,0,1,FP,7.72851,0.390,8.5
KS,CO2_percent_in_off_gas::batch_92.0_selfsplit,0,1,FP,0.485217,0.154,55.1
ADWIN,CO2_percent_in_off_gas::batch_92.0_selfsplit,0,1,FP,,0.550,9.0
PageHinkley,CO2_percent_in_off_gas::batch_92.0_selfsplit,0,0,TN,,0.786,0.8
HDDM-A,CO2_percent_in_off_gas::batch_92.0_selfsplit,0,0,TN,,2.304,10.1
PSI,CO2_percent_in_off_gas::batch_92.0_vs_batch_100.0,1,1,TP,0.885311,0.337,12.9
KS,CO2_percent_in_off_gas::batch_92.0_vs_batch_100.0,1,1,TP,0.223478,0.760,109.0
ADWIN,CO2_percent_in_off_gas::batch_92.0_vs_batch_100.0,1,1,TP,,1.462,17.4
PageHinkley,CO2_percent_in_off_gas::batch_92.0_vs_batch_100.0,1,1,TP,,1.435,0.8
HDDM-A,CO2_percent_in_off_gas::batch_92.0_vs_batch_100.0,1,0,FN,,9.521,19.1
PSI,CO2_percent_in_off_gas::batch_92.0_vs_batch_91.0,1,1,TP,2.75785,0.348,14.0
KS,CO2_percent_in_off_gas::batch_92.0_vs_batch_91.0,1,1,TP,0.593333,0.197,115.6
ADWIN,CO2_percent_in_off_gas::batch_92.0_vs_batch_91.0,1,1,TP,,1.430,9.1
PageHinkley,CO2_percent_in_off_gas::batch_92.0_vs_batch_91.0,1,1,TP,,1.497,0.8
HDDM-A,CO2_percent_in_off_gas::batch_92.0_vs_batch_91.0,1,0,FN,,10.294,21.2
PSI,CO2_percent_in_off_gas::batch_92.0_vs_batch_94.0,1,1,TP,1.30938,0.524,12.9
KS,CO2_percent_in_off_gas::batch_92.0_vs_batch_94.0,1,1,TP,0.321739,0.228,109.0
ADWIN,CO2_percent_in_off_gas::batch_92.0_vs_batch_94.0,1,1,TP,,1.292,17.0
PageHinkley,CO2_percent_in_off_gas::batch_92.0_vs_batch_94.0,1,1,TP,,1.789,0.8
HDDM-A,CO2_percent_in_off_gas::batch_92.0_vs_batch_94.0,1,0,FN,,8.817,19.1
PSI,CO2_percent_in_off_gas::batch_92.0_vs_batch_95.0,1,1,TP,2.60931,0.350,12.7
KS,CO2_percent_in_off_gas::batch_92.0_vs_batch_95.0,1,1,TP,0.563079,0.380,104.6
ADWIN,CO2_percent_in_off_gas::batch_92.0_vs_batch_95.0,1,1,TP,,1.050,11.2
PageHinkley,CO2_percent_in_off_gas::batch_92.0_vs_batch_95.0,1,1,TP,,1.388,0.8
HDDM-A,CO2_percent_in_off_gas::batch_92.0_vs_batch_95.0,1,0,FN,,8.678,17.6
PSI,CO2_percent_in_off_gas::batch_92.0_vs_batch_96.0,1,0,FN,0.0267817,0.328,12.9
KS,CO2_percent_in_off_gas::batch_92.0_vs_batch_96.0,1,1,TP,0.141739,0.182,109.0
ADWIN,CO2_percent_in_off_gas::batch_92.0_vs_batch_96.0,1,1,TP,,1.338,28.0
PageHinkley,CO2_percent_in_off_gas::batch_92.0_vs_batch_96.0,1,1,TP,,1.426,0.8
HDDM-A,CO2_percent_in_off_gas::batch_92.0_vs_batch_96.0,1,0,FN,,8.806,19.1
PSI,CO2_percent_in_off_gas::batch_92.0_vs_batch_97.0,1,1,TP,0.232598,0.380,12.8
KS,CO2_percent_in_off_gas::batch_92.0_vs_batch_97.0,1,1,TP,0.0983382,0.185,107.9
ADWIN,CO2_percent_in_off_gas::batch_92.0_vs_batch_97.0,1,1,TP,,1.280,13.9
PageHinkley,CO2_percent_in_off_gas::batch_92.0_vs_batch_97.0,1,1,TP,,1.648,0.8
HDDM-A,CO2_percent_in_off_gas::batch_92.0_vs_batch_97.0,1,0,FN,,9.479,18.7
PSI,CO2_percent_in_off_gas::batch_92.0_vs_batch_98.0,1,1,TP,0.123324,0.372,12.9
KS,CO2_percent_in_off_gas::batch_92.0_vs_batch_98.0,1,1,TP,0.14,0.204,109.0
ADWIN,CO2_percent_in_off_gas::batch_92.0_vs_batch_98.0,1,1,TP,,1.374,24.6
PageHinkley,CO2_percent_in_off_gas::batch_92.0_vs_batch_98.0,1,1,TP,,1.330,0.8
HDDM-A,CO2_percent_in_off_gas::batch_92.0_vs_batch_98.0,1,0,FN,,10.678,19.1
PSI,CO2_percent_in_off_gas::batch_92.0_vs_batch_99.0,1,1,TP,1.36633,0.336,13.8
KS,CO2_percent_in_off_gas::batch_92.0_vs_batch_99.0,1,1,TP,0.350293,0.249,114.0
ADWIN,CO2_percent_in_off_gas::batch_92.0_vs_batch_99.0,1,1,TP,,1.511,17.0
PageHinkley,CO2_percent_in_off_gas::batch_92.0_vs_batch_99.0,1,1,TP,,1.678,0.8
HDDM-A,CO2_percent_in_off_gas::batch_92.0_vs_batch_99.0,1,0,FN,,9.494,20.7
PSI,CO2_percent_in_off_gas::batch_93.0_selfsplit,0,1,FP,10.1125,0.291,8.1
KS,CO2_percent_in_off_gas::batch_93.0_selfsplit,0,1,FP,0.584762,0.144,50.4
ADWIN,CO2_percent_in_off_gas::batch_93.0_selfsplit,0,1,FP,,0.574,15.2
PageHinkley,CO2_percent_in_off_gas::batch_93.0_selfsplit,0,0,TN,,0.661,0.8
HDDM-A,CO2_percent_in_off_gas::batch_93.0_selfsplit,0,0,TN,,5.895,9.3
