detector,case_id,expected_drift,detected_drift,outcome,score,runtime_ms,peak_memory_kb
PSI,pH::batch_92.0_selfsplit,0,1,FP,3.65263,0.309,8.5
KS,pH::batch_92.0_selfsplit,0,1,FP,0.194783,0.143,55.1
ADWIN,pH::batch_92.0_selfsplit,0,1,FP,,0.742,17.6
PageHinkley,pH::batch_92.0_selfsplit,0,1,FP,,0.679,0.8
HDDM-A,pH::batch_92.0_selfsplit,0,1,FP,,3.340,10.1
PSI,pH::batch_92.0_vs_batch_100.0,1,1,TP,1.61489,0.428,12.9
KS,pH::batch_92.0_vs_batch_100.0,1,1,TP,0.193913,0.482,109.0
ADWIN,pH::batch_92.0_vs_batch_100.0,1,0,FN,,30.926,31.3
PageHinkley,pH::batch_92.0_vs_batch_100.0,1,0,FN,,1.460,0.8
HDDM-A,pH::batch_92.0_vs_batch_100.0,1,0,FN,,8.026,19.1
PSI,pH::batch_92.0_vs_batch_91.0,1,1,TP,2.145,0.371,14.0
KS,pH::batch_92.0_vs_batch_91.0,1,1,TP,0.207361,0.299,115.6
ADWIN,pH::batch_92.0_vs_batch_91.0,1,0,FN,,31.550,31.2
PageHinkley,pH::batch_92.0_vs_batch_91.0,1,0,FN,,4.502,0.8
HDDM-A,pH::batch_92.0_vs_batch_91.0,1,0,FN,,14.138,21.2
PSI,pH::batch_92.0_vs_batch_94.0,1,1,TP,2.13482,1.123,12.9
KS,pH::batch_92.0_vs_batch_94.0,1,1,TP,0.195652,0.548,109.0
ADWIN,pH::batch_92.0_vs_batch_94.0,1,0,FN,,38.571,30.9
PageHinkley,pH::batch_92.0_vs_batch_94.0,1,0,FN,,1.446,0.8
HDDM-A,pH::batch_92.0_vs_batch_94.0,1,0,FN,,17.782,19.1
PSI,pH::batch_92.0_vs_batch_95.0,1,1,TP,2.14435,0.532,12.7
KS,pH::batch_92.0_vs_batch_95.0,1,1,TP,0.210719,0.377,104.6
ADWIN,pH::batch_92.0_vs_batch_95.0,1,0,FN,,39.484,31.4
PageHinkley,pH::batch_92.0_vs_batch_95.0,1,0,FN,,3.668,0.8
HDDM-A,pH::batch_92.0_vs_batch_95.0,1,0,FN,,9.439,17.6
PSI,pH::batch_92.0_vs_batch_96.0,1,1,TP,2.18473,0.434,12.9
KS,pH::batch_92.0_vs_batch_96.0,1,1,TP,0.2,0.219,109.0
ADWIN,pH::batch_92.0_vs_batch_96.0,1,0,FN,,44.522,30.9
PageHinkley,pH::batch_92.0_vs_batch_96.0,1,0,FN,,2.894,0.8
HDDM-A,pH::batch_92.0_vs_batch_96.0,1,0,FN,,17.569,19.1
