detector,case_id,expected_drift,detected_drift,outcome,score,runtime_ms,peak_memory_kb
PSI,penicillin_concentration::batch_92.0_selfsplit,0,1,FP,29.8066,0.576,18.2
KS,penicillin_concentration::batch_92.0_selfsplit,0,1,FP,0.947826,0.179,56.3
ADWIN,penicillin_concentration::batch_92.0_selfsplit,0,1,FP,,1.609,10.3
PageHinkley,penicillin_concentration::batch_92.0_selfsplit,0,1,FP,,1.725,1.3
HDDM-A,penicillin_concentration::batch_92.0_selfsplit,0,0,TN,,10.660,11.2
PSI,penicillin_concentration::batch_92.0_vs_batch_100.0,1,1,TP,10.7249,0.613,12.9
KS,penicillin_concentration::batch_92.0_vs_batch_100.0,1,1,TP,0.616522,0.395,109.0
ADWIN,penicillin_concentration::batch_92.0_vs_batch_100.0,1,1,TP,,1.953,9.6
PageHinkley,penicillin_concentration::batch_92.0_vs_batch_100.0,1,1,TP,,3.171,0.8
HDDM-A,penicillin_concentration::batch_92.0_vs_batch_100.0,1,1,TP,,13.848,19.1
PSI,penicillin_concentration::batch_92.0_vs_batch_91.0,1,1,TP,11.5612,0.345,14.0
KS,penicillin_concentration::batch_92.0_vs_batch_91.0,1,1,TP,0.68,0.429,115.6
ADWIN,penicillin_concentration::batch_92.0_vs_batch_91.0,1,1,TP,,1.270,9.1
PageHinkley,penicillin_concentration::batch_92.0_vs_batch_91.0,1,1,TP,,3.602,0.8
HDDM-A,penicillin_concentration::batch_92.0_vs_batch_91.0,1,1,TP,,7.248,21.2
PSI,penicillin_concentration::batch_92.0_vs_batch_94.0,1,1,TP,9.9015,0.300,12.9
KS,penicillin_concentration::batch_92.0_vs_batch_94.0,1,1,TP,0.592174,0.363,109.0
ADWIN,penicillin_concentration::batch_92.0_vs_batch_94.0,1,1,TP,,1.130,7.9
PageHinkley,penicillin_concentration::batch_92.0_vs_batch_94.0,1,1,TP,,1.314,0.8
HDDM-A,penicillin_concentration::batch_92.0_vs_batch_94.0,1,1,TP,,7.540,19.1
PSI,penicillin_concentration::batch_92.0_vs_batch_95.0,1,1,TP,10.6545,0.294,12.7
KS,penicillin_concentration::batch_92.0_vs_batch_95.0,1,1,TP,0.621739,0.150,104.6
ADWIN,penicillin_concentration::batch_92.0_vs_batch_95.0,1,1,TP,,2.505,9.3
PageHinkley,penicillin_concentration::batch_92.0_vs_batch_95.0,1,1,TP,,1.242,0.8
HDDM-A,penicillin_concentration::batch_92.0_vs_batch_95.0,1,1,TP,,6.904,17.6
PSI,penicillin_concentration::batch_92.0_vs_batch_96.0,1,1,TP,0.578156,0.328,12.9
KS,penicillin_concentration::batch_92.0_vs_batch_96.0,1,1,TP,0.215652,0.187,109.0
ADWIN,penicillin_concentration::batch_92.0_vs_batch_96.0,1,1,TP,,1.097,9.5
PageHinkley,penicillin_concentration::batch_92.0_vs_batch_96.0,1,1,TP,,1.338,0.8
HDDM-A,penicillin_concentration::batch_92.0_vs_batch_96.0,1,1,TP,,7.549,19.1
PSI,penicillin_concentration::batch_92.0_vs_batch_97.0,1,0,FN,0.0525834,0.280,12.8
KS,penicillin_concentration::batch_92.0_vs_batch_97.0,1,1,TP,0.082029,0.198,107.9
ADWIN,penicillin_concentration::batch_92.0_vs_batch_97.0,1,1,TP,,1.122,9.3
PageHinkley,penicillin_concentration::batch_92.0_vs_batch_97.0,1,1,TP,,3.206,0.8
HDDM-A,penicillin_concentration::batch_92.0_vs_batch_97.0,1,1,TP,,7.416,18.7
PSI,penicillin_concentration::batch_92.0_vs_batch_98.0,1,1,TP,5.41283,0.253,12.9
KS,penicillin_concentration::batch_92.0_vs_batch_98.0,1,1,TP,0.331304,0.171,109.0
ADWIN,penicillin_concentration::batch_92.0_vs_batch_98.0,1,1,TP,,1.043,7.4
PageHinkley,penicillin_concentration::batch_92.0_vs_batch_98.0,1,1,TP,,1.391,0.8
HDDM-A,penicillin_concentration::batch_92.0_vs_batch_98.0,1,1,TP,,7.437,19.1
PSI,penicillin_concentration::batch_92.0_vs_batch_99.0,1,1,TP,9.80857,0.210,13.8
KS,penicillin_concentration::batch_92.0_vs_batch_99.0,1,1,TP,0.576522,0.163,114.0
ADWIN,penicillin_concentration::batch_92.0_vs_batch_99.0,1,1,TP,,1.164,7.6
PageHinkley,penicillin_concentration::batch_92.0_vs_batch_99.0,1,1,TP,,1.455,0.8
HDDM-A,penicillin_concentration::batch_92.0_vs_batch_99.0,1,1,TP,,8.051,20.7
PSI,penicillin_concentration::batch_93.0_selfsplit,0,1,FP,31.6583,0.230,8.1
KS,penicillin_concentration::batch_93.0_selfsplit,0,1,FP,1,0.100,50.4
ADWIN,penicillin_concentration::batch_93.0_selfsplit,0,1,FP,,0.483,7.0
PageHinkley,penicillin_concentration::batch_93.0_selfsplit,0,1,FP,,0.624,0.8
HDDM-A,penicillin_concentration::batch_93.0_selfsplit,0,0,TN,,7.985,9.3
PSI,penicillin_concentration::batch_93.0_vs_batch_100.0,1,1,TP,10.4586,0.240,12.9
KS,penicillin_concentration::batch_93.0_vs_batch_100.0,1,1,TP,0.605714,0.200,104.4
ADWIN,penicillin_concentration::batch_93.0_vs_batch_100.0,1,1,TP,,1.087,7.7
PageHinkley,penicillin_concentration::batch_93.0_vs_batch_100.0,1,1,TP,,1.657,0.8
HDDM-A,penicillin_concentration::batch_93.0_vs_batch_100.0,1,1,TP,,18.283,19.1
PSI,penicillin_concentration::batch_93.0_vs_batch_91.0,1,1,TP,11.6512,0.426,14.0
KS,penicillin_concentration::batch_93.0_vs_batch_91.0,1,1,TP,0.673333,0.254,110.9
ADWIN,penicillin_concentration::batch_93.0_vs_batch_91.0,1,1,TP,,2.959,9.2
PageHinkley,penicillin_concentration::batch_93.0_vs_batch_91.0,1,1,TP,,2.773,0.8
HDDM-A,penicillin_concentration::batch_93.0_vs_batch_91.0,1,1,TP,,8.308,21.2
PSI,penicillin_concentration::batch_93.0_vs_batch_94.0,1,1,TP,9.28659,0.360,12.9
KS,penicillin_concentration::batch_93.0_vs_batch_94.0,1,1,TP,0.577143,0.156,104.4
ADWIN,penicillin_concentration::batch_93.0_vs_batch_94.0,1,1,TP,,1.063,7.8
PageHinkley,penicillin_concentration::batch_93.0_vs_batch_94.0,1,1,TP,,1.289,0.8
HDDM-A,penicillin_concentration::batch_93.0_vs_batch_94.0,1,1,TP,,8.872,19.1
PSI,penicillin_concentration::batch_93.0_vs_batch_95.0,1,1,TP,10.4272,0.268,12.2
KS,penicillin_concentration::batch_93.0_vs_batch_95.0,1,1,TP,0.611429,0.159,99.9
ADWIN,penicillin_concentration::batch_93.0_vs_batch_95.0,1,1,TP,,0.998,9.1
PageHinkley,penicillin_concentration::batch_93.0_vs_batch_95.0,1,1,TP,,1.220,0.8
HDDM-A,penicillin_concentration::batch_93.0_vs_batch_95.0,1,1,TP,,9.165,17.6
