detector,case_id,expected_drift,detected_drift,outcome,score,runtime_ms,peak_memory_kb
PSI,substrate_concentration::batch_92.0_selfsplit,0,1,FP,8.73817,0.483,8.5
KS,substrate_concentration::batch_92.0_selfsplit,0,1,FP,0.56,0.224,55.1
ADWIN,substrate_concentration::batch_92.0_selfsplit,0,1,FP,,1.129,19.0
PageHinkley,substrate_concentration::batch_92.0_selfsplit,0,1,FP,,1.332,0.8
HDDM-A,substrate_concentration::batch_92.0_selfsplit,0,0,TN,,6.969,10.1
PSI,substrate_concentration::batch_92.0_vs_batch_100.0,1,1,TP,3.67307,0.705,12.9
KS,substrate_concentration::batch_92.0_vs_batch_100.0,1,1,TP,0.323478,0.515,109.0
ADWIN,substrate_concentration::batch_92.0_vs_batch_100.0,1,1,TP,,3.368,15.1
PageHinkley,substrate_concentration::batch_92.0_vs_batch_100.0,1,1,TP,,3.616,0.8
HDDM-A,substrate_concentration::batch_92.0_vs_batch_100.0,1,1,TP,,13.108,19.1
PSI,substrate_concentration::batch_92.0_vs_batch_91.0,1,1,TP,6.98615,0.516,14.0
KS,substrate_concentration::batch_92.0_vs_batch_91.0,1,1,TP,0.427907,0.474,115.6
ADWIN,substrate_concentration::batch_92.0_vs_batch_91.0,1,1,TP,,3.502,26.5
PageHinkley,substrate_concentration::batch_92.0_vs_batch_91.0,1,1,TP,,2.666,0.7
HDDM-A,substrate_concentration::batch_92.0_vs_batch_91.0,1,1,TP,,12.364,21.2
PSI,substrate_concentration::batch_92.0_vs_batch_94.0,1,1,TP,2.53774,0.412,12.9
KS,substrate_concentration::batch_92.0_vs_batch_94.0,1,1,TP,0.272174,0.397,109.0
ADWIN,substrate_concentration::batch_92.0_vs_batch_94.0,1,1,TP,,2.610,12.1
PageHinkley,substrate_concentration::batch_92.0_vs_batch_94.0,1,1,TP,,2.127,0.8
HDDM-A,substrate_concentration::batch_92.0_vs_batch_94.0,1,1,TP,,13.502,19.1
PSI,substrate_concentration::batch_92.0_vs_batch_95.0,1,1,TP,3.89179,0.525,12.7
KS,substrate_concentration::batch_92.0_vs_batch_95.0,1,1,TP,0.282691,0.337,104.6
ADWIN,substrate_concentration::batch_92.0_vs_batch_95.0,1,1,TP,,3.172,31.4
PageHinkley,substrate_concentration::batch_92.0_vs_batch_95.0,1,1,TP,,2.545,0.8
HDDM-A,substrate_concentration::batch_92.0_vs_batch_95.0,1,1,TP,,6.011,17.6
PSI,substrate_concentration::batch_92.0_vs_batch_96.0,1,1,TP,1.54955,0.313,12.9
KS,substrate_concentration::batch_92.0_vs_batch_96.0,1,1,TP,0.19913,0.446,109.0
ADWIN,substrate_concentration::batch_92.0_vs_batch_96.0,1,1,TP,,1.354,21.7
PageHinkley,substrate_concentration::batch_92.0_vs_batch_96.0,1,1,TP,,1.409,0.8
HDDM-A,substrate_concentration::batch_92.0_vs_batch_96.0,1,1,TP,,2.861,19.1
